Term_English;Istilah_Indonesia;Definisi
Proxy;Proxy;Sebuah indikator iklim proxy adalah rekaman lokal yang ditafsirkan, dengan menggunakan prinsip fisik dan biofisik, untuk mewakili beberapa kombinasi dari variasi iklim yang berhubungan ke masa lalu. Data iklim yang berhubungan berasal dengan cara ini disebut sebagai proxy data. Contoh proxy meliputi analisis serbuk sari, catatan cincin pohon, karakteristik karang dan berbagai data yang berasal dari inti es. 127
Pteropods;Pteropods;Plankton, siput laut kecil dengan organ renang menyerupai sayap.
Public sector leadership programmes in energy efficiency;Public sector leadership programmes in energy efficiency;Pembelian pemerintah dan pengadaan produk dan jasa hemat energi. Instansi pemerintah bertanggung jawab untuk berbagai konsumsi energi dari fasilitas dan layanan seperti gedung perkantoran pemerintah, sekolah, dan fasilitas perawatan kesehatan. Pemerintah seringkali menjadi konsumen energi terbesar dan pembeli energi yang menggunakan peralatan terbesar. Dampak atau manfaat tidak langsung terjadi ketika pemerintah bertindak secara efektif sebagai pemimpin pasar. Pertama, pemerintah dapat membuat daya beli atau memperluas permintaan produk hemat energi dan jasa. Kedua pemerintah, terlihat tindakan hemat energi dapat menjadi contoh bagi orang lain.
Purchasing Power Parity;PPP;Daya beli suatu mata uang dinyatakan menggunakan sekumpulan barang dan jasa yang bisa dibeli dengan jumlah yang diberikan dalam negara asal. Perbandingan internasional, misalnya, Domestik Bruto Produk negara dapat didasarkan pada daya beli mata uang bukan pada nilai tukar saat ini. Perkiraan PPP cenderung untuk menurunkan PDB per kapita di negara industri dan meningkatkan per kapita PDB di negara berkembang. (dalam perubahan iklim PPP juga merupakan singkatan dari Polluter Pay Principle atau prinsip-pencemar-pembayar).
Pure rate of time preference;Pure rate of time preference;Tingkat dimana konsumsi sekarang lebih disukai untuk konsumsi satu tahun kemudian, dengan harga dan pendapatan tetap konstan, yang merupakan salah satu komponen dari tingkat diskonto. 128
Quaternary;Quaternary;Periode waktu geologi mengikuti Tersier (65 sampai 1,8 juta tahun). Setelah definisi saat ini Zaman Kuarter memanjang dari 1,8 juta tahun sampai saat ini. Hal ini dibentuk dari dua zaman yaitu Pleistosen dan Holosen. 129
Radiative forcing;Radiative forcing;Dorongan radiasi adalah perubahan netto, ke bawah dikurangi ke atas atmosfer, irradiasi (dalam W m-2) di tropopause yang disebabkan oleh perubahan pendorong eksternal dari perubahan iklim, seperti, misalnya, perubahan konsentrasi karbon dioksida atau output dari Matahari. Dorongan radiasi dihitung dengan semua unsur troposfir pada kondisi tetap saat suhu atmosfer di modelkan terganggu kondisi perubahan iklim, dan setelah memungkinkan untuk suhu stratosfir, setelah terganggu, troposfir dihitung saat menyesuaikan kembali untuk dicari radiasi-dinamis keseimbangannya. Dorongan radiasi disebut seketika jika tidak ada perubahan suhu stratosfir adalah diperhitungkan. Untuk tujuan penulisan buku ini, dorongan radiasi adalah didefinisikan lebih lanjut sebagai perubahan relatif terhadap tahun 1750 dan, kecuali bagian atas atmosfer dinyatakan secara lain, mengacu pada nilai rata-rata global dan tahunan. Isitlah dorongan radiasi tidak sama atau dikacaukan dengan istilah dorongan radiasi awan, terminologi yang serupa untuk menggambarkan ukuran yang tidak terkait dari dampak dari awan pada radiasi di atmosfir
Radiative forcing scenario;Radiative forcing scenario;Sebuah representasi masuk akal dari arah pembangunan masa depan yang mendorong besaran radiasi di atmosfer, misalnya, dengan perubahan komposisi atmosfer atau perubahan penggunaan lahan, pola transportasi atau dengan faktor-faktor eksternal seperti variasi aktivitas matahari. Hal tersebut yg kemudian menjadikan skenario emisi mendatang yang dapat digunakan sebagai masukan ke dalam model iklim sederhana untuk menghitung proyeksi iklim.
Rangeland;Rangeland;padang rumput yang tidak dikelola, shrublands, sabana dan tundra.
Reanalysis;Reanalysis;Reanalyses adalah analisa dari kondisi atmosfer dan lautan untuk 131 parameter suhu, angin, arus dan unsur meteorologi dan oseanografi lainnya, dihasilkan dari pemprosesan data meteorologi dan oseanografi lampau memakai model forecast terkini dan teknik asimilasi terkini. Dengan memakai teknik asimilasi yang tertentu dapat menghindari pengaruh dari pergantian sistim analisa yang terjadi dalam operasionalisasi analisa. Meskipun kontinuitas hasil meningkat, hasil reanalisa global masih terkendala dengan perubahan tutupan dan kesalahan dalam sistim observasi atau pengamatan.
Rebound effect;Efek Balik;Setelah implementasi praktek rekayasa teknologi dan teknologi efisien, bagian dari sisa energi yang diambil kembali untuk konsumsi yang lebih intensif atau lainnya, misalnya, perbaikan dalam efisiensi mesin kendaraan dengan menurunkan biaya per kilometer serta mendorong perjalanan mobil lebih jauh atau menjadikan kendaraan lebih kuat.
Recalcitrant;Recalcitrant;Bahan organik bandel atau stok karbon yang handal melawan dekomposisi.
Reconstruction;Rekonstruksi;Penggunaan indikator iklim untuk membantu menentukan (biasanya terakhir) iklim
REDD Plus;REDD Plus;Kerangka kerja REDD yang lebih luas dengan memasukkan konservasi hutan, pengolahan hutan lestari atau peningkatan cadangan karbon agar partisipasi untuk menerapkan REED semakin luas serta untuk memberikan penghargaan kepada negara-negara yang sudah melindungi hutannya.
Reducing Emission from Deforestation and Forest Degradation;REDD;Sebuah mekanisme untuk mengurangi emisi GRK dangan cara memberikan kompensasi kepada pihak-pihak yang melakukan pencegahan deforestasi dan degradasi hutan. 132
Reforestation;reforestasi;Penanaman hutan pada lahan yang sebelumnya memiliki atau terdapat hutan tetapi yang telah dikonversi ke beberapa jenis tata guna lainnya. Untuk diskusi tentang hutan panjang dan hal terkait seperti aforestasi, reforestasi dan deforestasi, lihat Laporan IPCC tentang Penggunaan Tanah, Land-Use Change and Forestry (IPCC, 2000). lihat juga Laporan pada definisi dan Pilihan metodologis untuk Persediaan Emisi dari Direct Manusia akibat Degradasi Hutan dan Devegetation Jenis-jenis vegetasi lain (IPCC, 2003)
Regime;Rezim;Rezim adalah kondisi yang lebih disukai dari sebuah sistem iklim, sering mewakili satu fase dari pola dominan atau mode variabilitas iklim.
Region;Wilayah;Wilayah adalah daerah yang ditandai dengan fitur geografis dan iklim yang spesifik. Iklim suatu daerah dipengaruhi oleh faktor pendorong skala regional dan lokal seperti topografi, tanah dengan menggunakan karakteristik, danau, dll, serta pengaruh yang datang dari jauh atau dari daerah lain.
Registration;Registrasi;"Kegiatan proyek yang disampaikan kepada Dewan Eksekutif CDM untuk didaftarkan setelah validasi berhasil. Pendaftaran disertai dengan biaya untuk biaya administrasi ke EB CDM; biaya ini tergantung pada skala proyek."
Reid's paradox;Reid's paradox;Hal ini mengacu pada kontradiksi antara kesimpulan dari tingkat tinggi tanaman migrasi seperti yang disarankan dalam catatan Paleo-(terutama setelah zaman es terakhir), dan tingkat potensi migrasi rendah yang dapat disimpulkan dengan mempelajari penyebaran benih tanaman yang terlibat, misalnya, dalam percobaan terowongan angin.
Reinsurance;Reinsurance;"Pengalihan sebagian dari resiko asuransi tingkat perusahaan asuransi primer ke tingkat perusahaan asuransi sekunder (reasuransi); dasar patokan kebijakan adalah 'asuransi untuk asuransi'."
Relative sea level;Relative sea level;Permukaan laut diukur dengan tide gauge terhadap posisi daratan dimana hal itu berada. Berarti permukaan laut biasanya didefinisikan sebagai permukaan laut rata-rata relatif selama periode, seperti bulan atau satu tahun, cukup lama untuk keluar rata-rata transien jangka panjang seperti gelombang dan pasang surut
Reservoir;Reservoir;Sebuah komponen dari sistem iklim, selain atmosfer, yang memiliki kapasitas untuk menyimpan, mengumpulkan atau melepaskan zat yang menjadi fokus perhatian, misalnya, karbon, gas rumah kaca atau prekursor lainnya. Lautan, tanah dan hutan adalah contoh lain dari reservoir karbon. Renang adalah istilah kesetaraan (perhatikan bahwa definisi dari reservoir sering kali mengenai atmosfer). Jumlah absolut dari substansi yang menjadi fokus perhatian dalam sebuah reservoir pada waktu spesifik adalah disebut dengan stok atau cadangan.
Residual impacts;Dampak residual;Sisa dampak: dampak perubahan iklim yang akan terjadi setelah adaptasi. Lihat juga dampak agregat, pasar dampak, dan dampak non-pasar.
Resilience;daya tahan;Kemampuan suatu sistem sosial atau ekologi untuk menyerap gangguan sementara dengan tetap mempertahankan struktur dasar yang sama dan cara fungsi, kapasitas untuk diri organisasi, dan kapasitas untuk beradaptasi terhadap stres dan perubahan.
Respiration;respirasi;Proses dimana organisme hidup mengkonversi bahan organik menjadi energi karbon dioksida, kemudian melepaskan dan mengkonsumsi molekul oksigen.
Response time;waktu respons;Waktu respon atau waktu penyesuaian adalah waktu yang 134 diperlukan oleh sebuah sistem iklim atau komponennya untuk kembali menyeimbangkan untuk kondisi yang baru, setelah mendapatkan faktor pendorong dari luar dan proses internal atau masukan lainnya. Hal ini sangat berbeda dari satu komponen sistem iklim ke sistim lainnya. Waktu respon dari troposfir adalah relatif singkat, dari hari ke minggu, sedangkan stratosfir mencapai kesetimbangan pada skala waktu biasanya beberapa bulan. Karena untuk kapasitas panas yang besar, lautan memiliki respon lebih lama waktu: biasanya dekade, tetapi sampai abad atau ribuan tahun. Waktu respon gabungan sistim permukaan dengan troposfir sangat lambat dibandingkan waktu response gabungan stratosfir dan troposfir karena terpengaruh waktu respons lautan. Biosfer dapat merespon dengan cepat (mis., kekeringan), tetapi juga sangat lambat terhadap perubahan yang dipaksakan. Waktu hidup untuk definisi yang berbeda dari waktu respons sangat dipengaruhi oleh laju proses dalam merespons perubahan konsentrasi gas rumah kaca.
Return period;perioda ulang;Rata-rata waktu antara kejadian dari suatu peristiwa yang didefinisikan (AMS, 2000)
Return value;Nilai Kembali;Nilai tertinggi (atau sebagai alternatif, atau terendah) dari kemungkinan terjadinya fenomena, rata-rata kejadian sekali dalam jangka waktu tertentu (misalnya, dalam 10 tahun)
Riparian;Riparian;Berkaitan dengan daerah atau tempat tinggal atau terletak di tepi sebuah anak sungai alami (seperti sungai) atau kadang-kadang sebuah danau atau sebuah daerah pasang surut.
River discharge;debit;Aliran air dalam saluran sungai, misalnya dinyatakan dalam m3/s. Sebuah sinonim untuk debit sungai.
Runoff;Runoff;Bagian dari air hujan yang tidak menguap dan tidak terjadi peresapan. 135 137
Salinisation;Salinisation;Akumulasi garam dalam tanah.
Salt-water intrusion / encroachment;intrusi air asin;Pergantian air segar permukaan atau air tanah dengan muka air garam karena kepadatan yang lebih besar. Ini biasanya terjadi di wilayah pesisir dan muara karena pengaruh darat berkurang (misalnya, baik dari limpasan berkurang dan yang terkait air tanah resapan, atau dari penarikan air yang berlebihan dari akuifer) atau pengaruh laut meningkat (misalnya, paras muka laut relatif naik).
Savanna;Savanna;Padang rumput tropis dan sub-tropis atau hutan bioma dengan sebaran semak, pohon individu atau pohon kanopi yang sangat terbuka, semua ditandai dengan iklim kering (kering, semi kering atau semi-lembab)
Scenario;Skenario;Sebuah deskripsi sederhana yang masuk akal dan mungkin bagaimana masa mendatang akan berkembang, berdasarkan koherensi dan konsistensi internal yang ada dan sekumpulan asumsi tentang faktor pendorong dan hubungan kunci yang ada. Skenario mungkin diangkat dari proyeksi, tetapi sering didasarkan pada tambahan informasi dari sumber lain, kadangkadang dikombinasikan dengan alur cerita yang naratif.
Sea ice;bongkahan es laut;Setiap bentuk es yang ditemukan di laut yang berasal dari pembekuan air laut. Es laut mungkin merupakan potongan terputus yang bergerak di permukaan laut akibat pengaruh angin dan arus laut, atau bongkahan tidak bergerak yang melekat pada daratan. Laut es kurang dari satu tahun disebut first year ice. Es multi-tahun adalah es laut yang telah bertahan setidaknya satu musim panas tanpa mencair seluruhnya.
Sea-ice biome;Sea-ice biome;Bioma yang terbentuk oleh semua organisme laut yang tinggal di dalam atau di es yang mengambang di laut (air laut beku) dari lautan kutub.
Sea level change;Perubahan permukaan laut;Permukaan laut bisa berubah, baik secara global dan lokal, karena (i) perubahan bentuk cekungan laut, (ii) perubahan dalam massa total air dan (iii) perubahan kerapatan atau densitas air. Tingkat perubahan laut yang disebabkan oleh perubahan densitas air disebut sterik. Kepadatan perubahan yang disebabkan oleh perubahan suhu hanya disebut thermosteric, sementara kepadatan perubahan yang disebabkan oleh perubahan salinitas adalah disebut halosteric.
Sea level equivalent;SLE;Perubahan permukaan laut global rata-rata yang akan terjadi jika jumlah yang diberikan setara air atau es yang ditambahkan ke atau dihapus dari lautan.
Sea-level rise;peningkatan paras muka laut;Peningkatan paras rata-rata muka laut. Kenaikan eustatic permukaan laut adalah perubahan permukaan laut global ratarata disebabkan oleh meningkatkan volume lautan dunia. Kenaikan relatif permukaan laut terjadi di mana ada peningkatan lokal di tingkat laut relatif terhadap tanah, yang mungkin disebabkan karena kenaikan laut dan / atau tingkat penurunan tanah. Dalam studi dimana tanah tingkat cepat mengangkat, maka permukaan laut relatif dapat jatuh.
Sequestration;Sequestration;Penyimpanan karbon di waduk darat dan perairan. Proses penyerapan biologis yang mencakup penghapusan langsung CO2 dari atmosfer melalui perubahan penggunaan lahan, penghijauan, reboisasi, penyimpanan karbon di tempat pembuangan sampah dan praktek yang meningkatkan karbon tanah dalam pertanian dan upaya penyimpanan karbon di perut bumi. 138
Sea surface temperature;SST;Suhu permukaan laut adalah suhu bawah permukaan dari masa air di paras puncak dari laut, diukur oleh kapal-kapal, pelampung dan buoy Drifters. Dari kapal, pengukuran sampel air di ember kebanyakan diaktifkan pada tahun 1940 dengan sampel dari air asupan mesin kapal. Satelit pengukuran suhu kulit (lapisan paling atas dari muka laut, sebuah sebagian kecil dari milimeter tebal) di inframerah atau sentimeter atas atau lebih dalam microwave juga digunakan, tetapi harus disesuaikan agar kompatibel dengan suhu masa muka air laut.
Sea wall;dinding laut;Sebuah dinding buatan manusia atau tanggul di sepanjang pantai untuk mencegah gelombang erosi dan rob.
Sensible heat flux;flux panas terasa;Aliran panas dari permukaan bumi ke udara yang tidak terkait dengan perubahan fase air, merupakan sebuah komponen dari neraca energi di permukaan.
Sensitivity;sensitivitas;Sensitivitas adalah derajat dimana suatu sistem dipengaruhi, baik buruk atau menguntungkan, oleh variabilitas iklim atau perubahan. Efeknya mungkin langsung (misalnya, perubahan dalam hasil panen sebagai tanggapan atas berubah dalam jangkauan, rata-rata atau suhu) atau tidak langsung (misalnya, kerusakan yang disebabkan oleh peningkatan frekuensi karena kenaikan permukaan laut pada pesisir banjir).
Semi-arid regions;Wilayah semi Arid;Daerah dengan curah hujan cukup rendah, yang sangat tidak produktif dan biasanya diklasifikasikan sebagai rangelands. 'Cukup 'rendah diterima secara luas sebagai daerah yang menerima curah hujan antara 100 dan 250 mm curah hujan per tahun. Lihat juga daerah gersang.
Shadow pricing;Harga Bayangan;Menetapkan harga barang dan jasa yang tidak sebenarnya, atau tidak lengkap, harga ditentukan oleh kekuatan pasar atau oleh 139 peraturan administratif, di ketinggian nilai sosial marjinalnya. Teknik ini digunakan dalam biaya-manfaat analisis.
Share of Proceeds;Share of Proceeds;Sebuah Bagian Penerimaan (SOP) akan dipotong dari pendapatan CER oleh Badan Eksekutif CDM. SOP ini akan digunakan untuk menutupi biaya administrasi yang dikeluarkan oleh EB, dan untuk mendanai langkah-langkah adaptasi di negara-negara yang rentan.
Significant wave height;potensi gelombang tinggi;Ketinggian rata-rata tertinggi yaitu sepertiga dari tinggi gelombang (laut dan alun) yang terjadi di tertentu periode waktu.
Silviculture;Silviculture;Sebuah budidaya, pengembangan dan perawatan hutan.
Sink;Sink;Proses apapun, aktivitas atau mekanisme yang dapat mengurangi kadar atau menghilangkan gas rumah kaca, aerosol atau pendahulu dari gas rumah kaca atau aerosol dari atmosfer
Slab-ocean model;Slab-ocean model;Sebuah presentasi sederhana dalam model iklim laut sebagai lapisan air bergerak dengan kedalaman 50 sampai 100 m. Iklim model dengan laut slab hanya dapat digunakan untuk memperkirakan respon keseimbangan iklim untuk kajian forcing atau dorongan model, bukan untuk evolusi transien iklim jangka panjang. Lihat Equilibrium dan percobaan iklim sementara.
Small Island Developing States;Small Island Developing States;ini mengacu pada daerah Pasifik, Carribia, Atlantik, samudera Indonesia, Mediterania dan negara kepulauan di Afrika, terkait dengan Small Island Developing States network (SIDSnet).
Snow line;garis Salju;Batas bawah penutup salju abadi, di bawah ini yang salju tidak menumpuk 140
Snow water equivalent;Volume kesetaraan salju dan air;Volume setara atau massa air yang akan dihasilkan jika tubuh tertentu salju atau es meleleh.
Snowpack;Snowpack;Sebuah akumulasi musiman pencairan salju yang lambat.
Social cost of carbon;Social cost of carbon;Nilai dari dampak perubahan iklim dari 1 ton karbon yang di emisikan hari ini sebagai CO2, dikumpulkan dari waktu ke waktu dan diakumulasikan hingga sekarang, kadang-kadang juga dinyatakan sebagai nilai per ton Co2.
Socio-economic scenarios;Skenario Sosial-ekonomi;Skenario tentang kondisi masa depan dalam hal populasi, Produk Domestik Bruto dan sosial ekonomi faktor yang relevan untuk memahami implikasi dari perubahan iklim.
Social unit costs of mitigation;Unit Biaya Sosial dari Mitigasi;Harga karbon dalam US $ / tCO2 dan US $ / tC-eq (yang dipengaruhi oleh kebijakan mitigasi dan menggunakan tingkat diskonto sosial) yang diperlukan untuk mencapai tingkat tertentu dari mitigasi (potensi ekonomi) dalam bentuk pengurangan di bawah dasar untuk emisi GRK. Pengurangan tersebut biasanya dikaitkan dengan target kebijakan, seperti batas atas dalam skema perdagangan emisi atau tingkat tertentu stabilisasi Gas rumah kaca konsentrasi di atmosfer.
Soil moisture;kandungan air tanah;Air yang disimpan dalam atau di permukaan tanah dan tersedia untuk penguapan.
Solar activity;Aktifitas Matahari;Matahari menunjukkan periode aktivitas tinggi diamati pada jumlah bintik matahari, serta output radiasi, aktivitas magnetik dan emisi partikel berenergi tinggi. Variasi ini terjadi pada berbagai skala waktu dari jutaan tahun hingga menit.
Solar ('11 year') cycle;Siklus matahari;Sebuah modulasi kuasi-reguler aktivitas bintik matahari dengan 141 berbagai amplitudo dan periode antara 9 dan 13 tahun (rerata 11 tahun).
Solar radiation;radiasi matahari;Radiasi elektromagnetik yang dipancarkan oleh Matahari. Hal ini juga disebut sebagai radiasi gelombang pendek. Radiasi matahari memiliki kisaran (spektrum) panjang gelombang khas yang ditentukan oleh suhu permukaan Matahari, memuncak pada panjang gelombang terlihat pada kisaran warna kuning.
Soot;Soot;Partikel yang terbentuk selama pendinginan mendadak gas di lapisan luar nyala uap organik, yang terdiri terutama dari karbon, dengan jumlah yang lebih kecil dari oksigen dan hidrogen hadir sebagai karboksil dan kelompok fenolik dan menunjukkan sebuah struktur graphitic yang tidak sempurna.
Source;sumber emisi;Proses apapun, aktivitas atau mekanisme yang melepaskan gas rumah kaca, aerosol atau pendahulu dari gas rumah kaca atau aerosol ke atmosfer
Southern Annular Mode;SAM;Padanan dari fluktuasi iklim dari pola seperti Modus tahunan (annular) Utara, tapi terjadi di belahan bumi selatan.
Spatial and temporal scales;skala ruang dan waktu;Iklim dapat bervariasi pada berbagai macam dari skala ruang (spasial) dan waktu (temporal). Skala spasial dapat berkisar dari lokal (kurang dari 100.000 km2), melalui daerah (100.000 sampai 10 juta km2) ke benua (10-100000000 km2). Skala waktu mungkin berkisar dari musiman untuk geologi (sampai ratusan juta tahun).
Specific energy use;spesifik energy yang digunakan;Energi yang digunakan dalam produksi dari bahan unit, produk atau layanan.
Spill-over effect;Spill-over effect;Efek dari mitigasi dalam negeri atau sektor lain mengukur pada 142 negara atau sektor. Spill-over efek dapat positif atau negatif dan termasuk efek pada perdagangan, kebocoran karbon, transfer inovasi, dan difusi teknologi ramah lingkungan dan isu lainnya.
SRES;SRES;Skenario proyeksi perubahan iklim mendatang berhubungan dengan populasi, GDP dan emisi skenario berdasarkan kepada laporan the Special Report on Emissions Scenarios (SRES) (Naki?enovi? et al., 2000), dan perubahan iklim dan kenaikan paras muka laut yang dihasilkannya. Empat keluarga skenario sosio eonomis (A1, A2, B1 and B2) mewakili kondisi dunia yang berbeda dalam dua dimensi yang terpisah dengan fokus pada ekonomi terhadap lingkungan dan pola pembangunan global terhadap pola regional.
SRES scenarios;SRES scenarios;Skenario SRES adalah skenario emisi yang dikembangkan oleh Naki?enovi? dan Swart (2000) dan digunakan, antara lain, sebagai dasar untuk beberapa proyeksi iklim ditunjukkan terutama pada laporan IPCC ke 4. Istilah-istilah berikut adalah relevan untuk pemahaman yang lebih baik struktur dan penggunaan himpunan skenario SRES: Keluarga skenario yang memiliki demografi yang sama, sosial, ekonomi dan teknis perubahan alur cerita. empat skenario keluarga terdiri dari set SRES skenario: A1, A2, B1 dan B2. Ilustrasi Skenario Skenario yang ilustratif untuk masing-masing enam kelompok skenario termaktub dalam Ringkasan untuk Pembuat Kebijakan dari laporan IPCC ke 4 dari Naki?enovi? dan Swart (2000). Mereka termasuk empat revisi skenario utama untuk kelompok skenario A1B, A2, B1, B2, dan dua skenario tambahan untuk A1FI dan kelompok A1T. Semua kelompok skenario sama-sama berfungsi dengan baik. Marker Skenario Skenario yang awalnya diumumkan di rancangan formulir di website SRES untuk mewakili skenario yang diberikan keluarga. Mereka termasuk dalam bentuk direvisi pada Naki?enovi? dan Swart (2000). Skenario ini menerima pengawasan terdekat dari tim penulisan seluruh dan melalui SRES membuka proses. Skenario juga dipilih untuk menggambarkan dua skenario kelompok lainnya. Penjelasan alur cerita narasi skenario (atau keluarga skenario), 143 menyoroti karakteristik skenario utama, hubungan antara kekuatan pendorong kunci dan dinamika evolusi mereka.
Stabilization;Stabilisasi;Menjaga konstan konsentrasi atmosfer dari satu atau lebih Gas rumah kaca (misalnya, CO2) atau setara dengan gas rumah kaca CO2. Stabilisasi analisis atau skenario bertujuan mengatasi stabilisasi konsentrasi dari gas rumah kaca di atmosfer.
Stakeholder;Stakeholder;Seseorang atau sebuah organisasi yang memiliki kepentingan legitimat pada sebuah proyek atau kegiatan atau akan dipengaruhi oleh sebuah aktivitas atau kebijakan
Standards;standar;Seperangkat aturan atau kode mandat atau definisi kinerja produk (misalnya, nilai, dimensi, karakteristik, metode pengujian, dan aturan untuk digunakan). Produk, teknologi, atau standar kinerja membangun persyaratan minimum untuk produk yang terkena dampak atau teknologi. Standar memberlakukan pengurangan emisi gas rumah kaca yang terkait dengan pembuatan atau penggunaan produk dan / atau penerapan teknologi yang tepat guna.
Storyline;Jalan cerita;Penjelasan narasi skenario (atau keluarga skenario) yang menyoroti penggunaan utama skenario, karakteristik, hubungan antara kunci pengendali, dan dinamika dari skenario.
Streamflow;debit;Aliran air dalam saluran sungai, misalnya, dinyatakan dalam m3/s. Sebuah sinonim umum untuk debit sungai
Storm surge;Storm surge;Kenaikan sementara, di sebuah wilayah tertentu, untuk ketinggian muka laut karena kondisi meteorologi ekstrim (tekanan atmosfer rendah dan / atau angin kencang). Gelombang badai didefinisikan sebagai kelebihan di atas tingkat yang normal diharapkan dari pasang surut variasi harian pada waktu dan tempat lokal. 144
Storm tracks;Storm tracks;Awalnya, istilah ini merujuk kepada jalur atau trek individu dari sebuah sistem cuaca siklon tropis, tapi sekarang sering di generalisasi untuk merujuk pada daerah dimana jalur atau trek utama gangguan extratropical yang terjadi dari jalur sistem tekanan rendah (siklon) ke sistim tekanan tinggi (anticyclonic).
Stratosphere;Stratosphere;Wilayah yang sangat berlapis di atmosfer atas troposfir yang membentang dari sekitar 10 km (antara 9 km pada lintang tinggi sampai 16 km di daerah tropis rata-rata) untuk sekitar ketinggian 50 km maksimum.
Structural change;Perubahan struktur;Perubahan struktur, misalnya, dalam pangsa relatif Domestik Bruto Produk yang dihasilkan oleh, sektor industri pertanian, atau jasa suatu ekonomi, atau lebih umum, sistem transformasi dimana beberapa komponen yang diganti atau berpotensi baik apabila diganti dengan yang lainnya.
Sub-alpine;Sub-alpine;Zona biogeografi di bawah garis pohon dan terletak di atas pegunungan yang zonanya ditandai oleh adanya jenis hutan dan pohon konifera.
Subsidy;subsidi;Praktek pembayaran langsung dari pemerintah atau pengurangan pajak ke pihak swasta untuk menerapkan praktek bantuan pemerintah dalam mendorong mitigasi perubahan iklim. Pengurangan emisi gas rumah kaca dirangsang dengan memberikan subsidi yang dapat memiliki efek meningkatkan emisi (seperti subsidi untuk penggunaan bahan bakar fosil) atau dengan memberikan subsidi untuk praktek yang mengurangi emisi atau meningkatkan penyerapan GRK (misalnya untuk insulasi bangunan atau untuk menanam pohon).
Subduction;subduksi;Proses di samudera lepas di mana air permukaan masuk interior laut dari lapisan permukaan campuran melalui proses pompa Ekman dan adveksi lateral. Proses yang kedua terjadi ketika air permukaan mengalir ke wilayah di mana lapisan permukaannya kurang padat dan karena itu harus masuk ke bawah lapisan permukaan, biasanya proses ini terjadi dengan tidak ada perubahan kepadatan air laut.
Succulent;Succulent;Tanaman sukulen, misalnya, cactuses, organ yang memiliki penyimpan air, sehingga memfasilitasi kelangsungan hidup selama kondisi kekeringan.
Sulphur hexafluoride;Sf6;Salah satu dari enam gas rumah kaca yang ditetapkan di bawah Kyoto Protokol. Gas ini sebagian besar digunakan dalam industri berat untuk mengisolasi tegangan tinggi peralatan dan untuk membantu dalam pembuatan sistem kabel-pendinginan dan semikonduktor. Nilai potensi Pemanasan Global SF6 adalah 23.900.
Summer Days;Hari musim panas;Jumlah hari dengan suhu maksimum lebih dari 25oC dalam setahun.
Sunspots;bintik matahari;Bintik atau daerah gelap kecil di permukaan Matahari. Jumlah bintik matahari adalah lebih tinggi selama periode aktivitas matahari tinggi, dan bervariasi khususnya dengan siklus matahari.
Supplementarity;Supplementarity;Protokol Kyoto menyatakan bahwa perdagangan emisi dan pelaksanaan kegiatan bersama harus menjadi tambahan untuk kebijakan domestik (misalnya pajak energi, standar efisiensi bahan bakar) yang diambil oleh negara-negara maju untuk mengurangi emisi GRK mereka. Dalam beberapa diskusi diusulkan definisi supplementarity (misalnya, tingkat penggunaan beton pada langit-langit), negara maju bisa dibatasi dalam penggunaan Mekanisme Kyoto untuk mencapai target pengurangan mereka. Ini adalah subjek untuk negosiasi lebih lanjut dan klarifikasi oleh para pihak. 146
Surface runoff;Surface runoff;"Air yang bergerak di atas permukaan tanah ke aliran permukaan terdekat; merupakan limpasan dari aliran sungai yang belum terserap masuk ke di bawah permukaan tanah dan berasal dari air hujan."
Sustainable Development;SD Pembangunan berkelanjutan;Konsep pembangunan berkelanjutan diperkenalkan di World Conservation Strategy (IUCN 1980) dan memiliki akarnya dalam konsep masyarakat yang berkelanjutan dan dalam manajemen sumber daya terbarukan. Diadopsi oleh WCED pada tahun 1987 dan oleh Konferensi Rio pada tahun 1992 sebagai proses perubahan yang eksploitasi sumber daya, arah investasi, orientasi perkembangan teknologi dan perubahan kelembagaan semua rukun dan meningkatkan baik potensial saat ini dan masa depan untuk memenuhi kebutuhan manusia dan aspirasi. Pembangunan berkelanjutan mengintegrasikan dimensi politik, sosial, ekonomi dan lingkungan
Sustainable development;Pembangunan berkelanjutan;Pembangunan berkelanjutan yang memenuhi kebutuhan budaya, sosial, politik dan ekonomi generasi sekarang tanpa mengorbankan kemampuan generasi mendatang untuk memenuhi kebutuhan mereka 147
Taiga;Taiga;Sabuk utara hutan boreal berdekatan dengan the Arctic tundra di kutub utara
Targets and timetables;Target;Suatu sasaran penurunan persentase tertentu dari emisi gas rumah kaca dari tanggal awal (misalnya, di bawah tingkat 1990) yang harus dicapai oleh tanggal atau jadwal tertentu (misalnya, 2008-2012). Di bawah Protokol Kyoto yang Uni Eropa setuju untuk mengurangi emisi gas rumah kaca sebesar 8% di bawah tingkat 1990 dengan periode komitmen 2008-2012. Target dan jadwal emisi juga mengacu pada jumlah total emisi GRK yang dapat dipancarkan oleh suatu negara atau wilayah dalam jangka waktu tertentu.
